Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Nokia Lumia 735,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 / 2100 - RM-1039,"2, 4, 5, 7, 17 - RM-1039","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",134.7 x 68.5 x 8.9 mm (5.30 x 2.70 x 0.35 in),134 g (4.73 oz),,Nano-SIM,"4.7 inches, 60.9 cm","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,"6.7 MP (6.1 MP effective), 1/3.4"", AF","Zeiss optics, LED flash, panorama","1080p@30fps, stereo sound rec.",5 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, LE/ aptX after WP8 Denim update",Yes,FM radio,microUSB 2.0,"Li-Ion 2200 mAh, removable (BV-T5A)",Wireless (Qi),"Orange, green, white, black",About 220 EUR
Nokia Lumia 730 Dual SIM,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,HSPA 21.1/5.76 Mbps,"134.7 x 68.5 x 8.7 mm, 80.3 cc (5.30 x 2.70 x 0.34 in)",130 g (4.59 oz),,"Dual SIM (Micro-SIM, dual stand-by)","4.7 inches, 59.4 cm","720 x 1280 pixels, 16:9 ratio (~316 ppi density)","Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,"6.7 MP (6.1 MP effective), 1/3.4"", AF","Zeiss optics, LED flash, panorama","1080p@30fps, stereo sound rec.",5 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, LE/ aptX after WP8 Denim update",Yes,FM radio,microUSB 2.0,"Li-Ion 2200 mAh, removable (BV-T5A)",,"Orange, green, white, black",About 170 EUR
Nokia N1,,No cellular connectivity, N/A,,,,200.7 x 138.6 x 6.9 mm (7.90 x 5.46 x 0.27 in),318 g (11.22 oz),,No,"7.9 inches, 193.3 cm","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)","Android 5.0 (Lollipop), upgradable to 5.1.1 (Lollipop)",Intel Atom Z3580,Quad-core 2.3 GHz,PowerVR G6430,No,32GB 2GB RAM,"8 MP, AF",,1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP",No,No,USB Type-C 2.0,"Li-Ion 5300 mAh, non-removable (18.5 Wh)",,"Natural Aluminum, Lava Gray",About 320 EUR
Nokia Lumia 638,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 - RM-1010,"3, 7, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",129.5 x 66.7 x 9.2 mm (5.10 x 2.63 x 0.36 in),136 g (4.80 oz),,Micro-SIM,"4.5 inches, 55.8 cm","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows Phone 8.1,Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,"5 MP, 1/4.0"", AF",Panorama,Yes,No,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, LE/ aptX after WP8 Denim update",No,FM radio,microUSB 2.0,"Li-Ion 1830 mAh, removable (BL-5H)",,Black,About 100 EUR
Nokia 215 Dual SIM,,GSM,GSM 900 / 1800 - SIM 1 & SIM 2 - RM-1110,,,,116 x 50 x 12.9 mm (4.57 x 1.97 x 0.51 in),78.6 g (2.75 oz),,Dual SIM (Mini-SIM),"2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSDHC (dedicated slot),8MB RAM,VGA,,240p@15fps,No,,Yes,Yes,WLANNo,3.0,No,Stereo FM radio,microUSB 2.0,"Li-Ion 1100 mAh, removable",,"Black, White, Green",About 30 EUR
Nokia 215,,GSM,GSM 900 / 1800 - RM-1111,,,,116 x 50 x 12.9 mm (4.57 x 1.97 x 0.51 in),78.4 g (2.75 oz),,Mini-SIM,"2.4 inches, 18.1 cm","240 x 320 pixels, 4:3 ratio (~166 ppi density)",,,,,microSDHC (dedicated slot),8MB RAM,VGA,,240p@15fps,No,,Yes,Yes,WLANNo,3.0,No,Stereo FM radio,microUSB 2.0,"Li-Ion 1100 mAh, removable",,"Black, White, Green",About 30 EUR
Nokia 105 (2015),,GSM,GSM 900 / 1800 ,,,,108.5 x 45.5 x 14.1 mm (4.27 x 1.79 x 0.56 in),69.8 g (2.47 oz),,Mini-SIM,"1.4 inches, 6.3 cm","128 x 128 pixels, 1:1 ratio (~129 ppi density)",,,,,No,4MB RAM,No,,,,,Yes,Yes,WLANNo,No,No,FM radio,microUSB 2.0 (charging only),"Li-Ion 800 mAh, removable",,"Black, Cyan, White",About 20 EUR
Nokia 105 Dual SIM (2015),,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,108.5 x 45.5 x 14.1 mm (4.27 x 1.79 x 0.56 in),69.6 g (2.47 oz),,"Dual SIM (Mini-SIM, dual stand-by)","1.4 inches, 6.3 cm","128 x 128 pixels, 1:1 ratio (~129 ppi density)",,,,,No,4MB RAM,No,,,,,Yes,Yes,WLANNo,No,No,FM radio,microUSB 2.0 (charging only),"Li-Ion 800 mAh, removable",,"Black, Cyan, White",About 20 EUR
Nokia 3310 4G,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",117 x 52.4 x 13.4 mm (4.61 x 2.06 x 0.53 in),88.1 g (3.10 oz),"Glass front, plastic back, plastic frame",Micro-SIM,"2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSDXC (dedicated slot),512MB 256MB RAM,2 MP,LED flash,Yes,No,,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.0, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Ion 1200 mAh, removable (BL-4UL)",,"Azure, Yellow, Warm Red, Charcoa",About 100 EUR
Nokia 1,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 - EMEA/APAC,"1, 3, 5, 7, 8, 20, 38, 40 - EMEA/APAC","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",133.6 x 67.8 x 9.5 mm (5.26 x 2.67 x 0.37 in),131 g (4.62 oz),"Plastic front, plastic back, plastic frame",Nano-SIM + Micro-SIM,"4.5 inches, 55.8 cm","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 8.1 Oreo (Go edition),Mediatek MT6737M (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720MP1,microSDXC (uses shared SIM slot),8GB 1GB RAM,5 MP,LED flash,480p,2 MP,,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.2, A2DP",No,FM radio,microUSB 2.0,"Li-Ion 2150 mAh, removable",,"Warm Red, Dark Blue",About 100 EUR
