Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Samsung S7350 Ultra s,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,109 x 50.3 x 12.6 mm (4.29 x 1.98 x 0.50 in),110 g (3.88 oz),,Mini-SIM,"2.6 inches, 19.2 cm","240 x 400 pixels, 5:3 ratio (~179 ppi density)",,,,,microSDHC (dedicated slot),100MB,"5 MP, AF",LED flash,480p@30fps,Yes,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion battery,,Silver,About 100 EUR
Samsung M6710 Beat DISC,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,106.8 x 50.9 x 14.7 mm (4.20 x 2.00 x 0.58 in),,,Mini-SIM,"2.6 inches, 19.2 cm","240 x 400 pixels, 5:3 ratio (~179 ppi density)",,,,,microSDHC (dedicated slot),80MB,3.15 MP,,320p@15fps,Yes,,"Yes, with stereo speakers",Yes,WLANNo,"1.2, A2DP",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion 880 mAh battery,,Black,About 220 EUR
Samsung M7600 Beat DJ,,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 900 / 2100 ,,HSPA,112 x 51 x 13.9 mm (4.41 x 2.01 x 0.55 in),99.7 g (3.49 oz),,Mini-SIM,"2.8 inches, 22.3 cm","240 x 400 pixels, 5:3 ratio (~167 ppi density)",,,,,microSDHC (dedicated slot),50MB,"3.15 MP, AF",LED flash,480p@15fps,Yes,,Yes,Yes,WLANNo,"2.0, A2DP",,"FM radio, RDS",microUSB 2.0,Removable Li-Ion 960 mAh battery,,Black,About 150 EUR
Samsung S8300 UltraTOUCH,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,110 x 51.5 x 12.7 mm (4.33 x 2.03 x 0.5 in),105 g (3.70 oz),,Mini-SIM,"2.8 inches, 22.3 cm","240 x 400 pixels, 5:3 ratio (~167 ppi density)",,Qualcomm MSM6281,500 MHz,,microSDHC (dedicated slot),80MB,"8 MP, AF",LED flash,480p@30fps,Videocall camera,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS, recording",microUSB 2.0,Removable Li-Ion 880 mAh battery,,"Platinum Red, Platinum Blue, Gold",About 140 EUR
Samsung i8910 Omnia HD,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,HSPA 7.2/5.76 Mbps,123 x 58 x 12.9 mm (4.84 x 2.28 x 0.51 in),148 g (5.22 oz),,Mini-SIM,"3.7 inches, 37.7 cm","360 x 640 pixels, 16:9 ratio (~198 ppi density)",Symbian 9.4 Series 60 rel. 5,,600 MHz Cortex-A8,PowerVR SGX,microSDHC (dedicated slot),"8GB 256MB RAM, 16GB 256MB RAM","8 MP, AF",LED flash,720p@24fps,CIF videocall camera,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 b/g, DLNA","2.0, A2DP",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion 1500 mAh battery,,"Black, Champagne Gold, Luxury Brown",About 150 EUR
Samsung S5600 Preston,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,102.8 x 54.8 x 12.9 mm (4.05 x 2.16 x 0.51 in),96 g (3.39 oz),,Mini-SIM,"2.8 inches, 24.3 cm","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,,,microSDHC (dedicated slot),80MB,3.15 MP,LED flash,320p@15fps,Videocall camera,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS",2.0,Removable Li-Ion 1000 mAh battery,,"Absolute Black, Pearl White, Lilac Violet",About 90 EUR
Samsung S5230 Star,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,104 x 53 x 11.9 mm (4.09 x 2.09 x 0.47 in),93.5 g (3.28 oz),,Mini-SIM,"3.0 inches, 25.6 cm","240 x 400 pixels, 5:3 ratio (~155 ppi density)",,,,,microSDHC (dedicated slot),50MB,3.15 MP,,320p@15fps,No,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS",2.0,Removable Li-Ion 1000 mAh battery,,"Black, White, Pink",About 70 EUR
Samsung B2100 Xplorer,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,113 x 48.9 x 17.4 mm (4.45 x 1.93 x 0.69 in),102.8 g (3.60 oz),,Mini-SIM,"1.77 inches, 9.7 cm","120 x 160 pixels, 4:3 ratio (~113 ppi density)",,,,,microSDHC (dedicated slot),7MB,1.3 MP,flash,@15fps,No,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS",2.0,Removable Li-Ion 1000 mAh battery,,"Red, Black",About 80 EUR
Samsung Propel Pro,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 3.6/0.384 Mbps,99 x 60 x 15 mm (3.90 x 2.36 x 0.59 in),137 g (4.83 oz),,Mini-SIM,"2.55 inches, 21.0 cm","320 x 320 pixels, 1:1 ratio (~177 ppi density)",Microsoft Windows Mobile 6.1 Standard,,528 MHz,,microSDHC (dedicated slot),"128MB RAM, 256MB ROM","3 MP, AF",,Yes,No,,Yes,No,WLANWi-Fi 802.11 b/g,"2.0, A2DP",,No,Proprietary,Removable Li-Ion 1000 mAh battery,,Grey,About 80 EUR
Samsung A257 Magnet,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,109 x 59 x 12 mm (4.29 x 2.32 x 0.47 in),87.6 g (3.07 oz),,Mini-SIM,"2.2 inches, 15.2 cm",220 x 176 pixels (~128 ppi density),,,,,No,64MB,VGA,,No,No,,Yes,No,WLANNo,2.0,,No,2.0,Removable Li-Ion 800 mAh battery,,Black,About 90 EUR
