Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
HTC Freestyle,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,HSPA 7.2/0.384 Mbps,106.7 x 56.6 x 12.5 mm (4.20 x 2.23 x 0.49 in),128 g (4.52 oz),,Mini-SIM,"3.2 inches, 30.5 cm","320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Qualcomm MSM7225 Snapdragon S1,528 MHz ARM 11,No,microSDHC (dedicated slot),150MB 256MB RAM 256MB ROM,3.15 MP,,Yes,No,,Yes,Yes,WLANNo,"2.0, A2DP, EDR",,No,miniUSB 2.0,Removable Li-Ion 1300 mAh battery,,Gray,About 70 EUR
HTC Inspire 4G,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,HSPA 14.4/5.76 Mbps,122.9 x 68.1 x 11.7 mm (4.84 x 2.68 x 0.46 in),163.9 g (5.75 oz),,Mini-SIM,"4.3 inches, 52.6 cm","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread), Sense UI",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSDHC (dedicated slot), 8 GB included",4GB 768MB RAM,"8 MP, AF",Dual-LED flash,720p,No,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot (charges may apply)","2.1, A2DP, EDR",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion 1230 mAh battery,,"Black, Brown, Red",About 120 EUR
HTC EVO View 4G,,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,EV-DO Rev.A 3.1 Mbps,196 x 112 x 13 mm (7.72 x 4.41 x 0.51 in),425 g (14.99 oz),,Mini-SIM,"7.0 inches, 137.9 cm","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 2.4 (Gingerbread), Sense UI",,1.5 GHz,,microSDHC (dedicated slot),32GB 1GB RAM,"5 MP, AF",,720p,1.3 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, WiMAX 802.16 e, DLNA, hotspot","3.0, A2DP",,No,microUSB 2.0,Non-removable Li-Ion 4000 mAh battery,,Silver,About 220 EUR
HTC Flyer Wi-Fi,,No cellular connectivity, N/A,,,,195.4 x 122 x 13.2 mm (7.69 x 4.80 x 0.52 in),420.8 g (14.82 oz),,No,"7.0 inches, 137.9 cm","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 2.3.3 (Gingerbread), upgradable to 3.2 (Honeycomb), Sense UI",Qualcomm MSM8255T Snapdragon S2,1.5 GHz Scropion,Adreno 205,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM","5 MP, AF",,720p,1.3 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA","3.0, A2DP",,No,microUSB 2.0,Non-removable Li-Ion 4000 mAh battery,,Silver,About 110 EUR
HTC Flyer,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1700 / 2100 ,,HSPA 14.4/5.76 Mbps,195.4 x 122 x 13.2 mm (7.69 x 4.80 x 0.52 in),420.8 g (14.82 oz),,Mini-SIM,"7.0 inches, 137.9 cm","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 2.3.3 (Gingerbread), upgradable to 3.2 (Honeycomb), Sense UI",Qualcomm MSM8255T Snapdragon S2,1.5 GHz Scorpion,Adreno 205,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM","5 MP, AF",,720p,1.3 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP",,No,microUSB 2.0,Non-removable Li-Po 4000 mAh battery,,Silver,About 300 EUR
HTC ChaCha,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,114.4 x 64.6 x 10.7 mm (4.50 x 2.54 x 0.42 in),120 g (4.23 oz),,Mini-SIM,"2.6 inches, 20.1 cm","480 x 320 pixels, 3:2 ratio (~222 ppi density)","Android 2.3 (Gingerbread), Sense UI 2.1",,800 MHz,,"microSDHC (dedicated slot), 2 GB included",512MB 512MB RAM,"5 MP, AF",LED flash,480p@30fps,VGA,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","3.0, A2DP",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion 1250 mAh battery,,"Black, Silver",About 70 EUR
HTC Radar,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 14.4/5.76 Mbps,120.5 x 61.5 x 10.9 mm (4.74 x 2.42 x 0.43 in),137 g (4.83 oz),,Mini-SIM,"3.8 inches, 41.1 cm","480 x 800 pixels, 5:3 ratio (~246 ppi density)",Microsoft Windows Phone 7.5 Mango,Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,No,8GB 512MB RAM,"5 MP, AF",LED flash,720p@30fps,VGA,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 b/g/n, DLNA","2.1, A2DP, EDR",,"Stereo FM radio, RDS",microUSB 2.0,Non-removable Li-Ion 1520 mAh battery,,"Active White, Metal Silver",About 140 EUR
HTC Titan,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,,HSPA 14.4/5.76 Mbps,131.5 x 70.7 x 9.9 mm (5.18 x 2.78 x 0.39 in),160 g (5.64 oz),,Mini-SIM,"4.7 inches, 62.9 cm","480 x 800 pixels, 5:3 ratio (~199 ppi density)",Microsoft Windows Phone 7.5 Mango,Qualcomm MSM8255 Snapdragon S2,1.5 GHz Scorpion,Adreno 205,No,16GB 512MB RAM,"8 MP, AF",Dual-LED flash,720p,1.3 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA","2.1, A2DP, EDR",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion 1600 mAh battery,,Carbon Gray,About 140 EUR
HTC Lead,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,17,HSPA 21.1/5.76 Mbps,-,-,,Mini-SIM,"4.3 inches, 52.6 cm","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 2.3 (Gingerbread), Sense UI",Broadcom BCM4329,Dual-core 1.2 GHz,,microSDHC (dedicated slot),768MB RAM,"5 MP, AF",,Yes,No,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP, EDR",,,microUSB 2.0,Removable Li-Ion battery,,Black,
HTC Jetstream,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,"4, 17","HSPA 14.4/5.76 Mbps, LTE",251 x 178 x 13 mm (9.88 x 7.01 x 0.51 in),709 g (1.56 lb),,Mini-SIM,"10.1 inches, 295.8 cm","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 3.1 (Honeycomb),Qualcomm MSM8260 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,microSDHC (dedicated slot),32GB 1GB RAM,"8 MP, AF",Dual-LED flash,1080p@30fps,1.3 MP,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","3.0, A2DP",,No,2.0,Non-removable Li-Ion 7300 mAh battery,,Black,About 280 EUR
