Sound_3.5mmjack,Brand,has_LTE,has_5G,has_CDMA,has_CDMA2000,has_EVDO,number_of_sims,number_of_2g_bands,aws_support,number_of_3g_bands,is_foldable_phone,thickness,has_Nano_SIM,has_Micro_SIM,has_Mini_SIM,has_eSIM,has_SIM_Type_Specified,has_memory_card,memory_type_microSDXC,memory_type_microSDHC,Battery_Is_removable,Battery_Capacity,Battery_Type_Lithium,Sound_has_stereo_speakers,camera_hdr,camera_panorama,GPU_company,Number_of_cores,CPU_Brand,CPU_Transistor_Size,Is_OS_Upgradable,Resolution_Width,Resolution_Height,PPI,Display_Size,has_8k,has_4k,has_1440p,has_1080p,has_720p,has_480p,has_EIS,has_HDR,has_stereo,has_dolby_vision,has_OIS,max_resolution,ram,Total_Pixels,number_of_camera_features,maincamera_mp,selfiecamera_mp,latest_wifi_version,Bluetooth_version,has_nfc,USB_Type,operating_system
Yes,alcatel,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,9.9,0.0,1.0,0.0,0.0,1.0,True,False,True,Removable,2000.0,Lithium Ion,No,0.0,1.0,Imagination,Low_Core,mediatek,> 20nm,False,Low,Low,220,5.0,0,0,0,0,1,0,0,0,0,0,0,720p,<= 4,518400.0,2.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Lenovo,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,9.1,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,270,6.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,0.0,High,Low,2,5,1.0,Type-C,Android
Yes,Motorola,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,10.4,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,2200.0,Lithium Ion,No,0.0,0.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Low,Medium,312,4.7,0,0,0,1,0,0,0,1,1,0,0,1080p,<= 4,921600.0,1.0,Medium,Low,2,Less than 4,1.0,Type-B,Android
Yes,ZTE,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,False,8.9,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5500.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,400,6.8,1,1,0,1,0,0,0,0,0,0,0,8k,8-16,2767680.0,3.0,Ultra,Medium,5,Less than 4,1.0,Type-C,Android
Yes,Realme,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,No,0.0,0.0,ARM,Mid_Core,unisoc,10nm - 20nm,False,Low,Medium,270,6.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,1.0,Ultra,Low,1,5,0.0,Type-B,Android
Yes,Motorola,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,5.0,False,9.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4000.0,Lithium Polymer,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,High,386,6.8,0,1,0,1,0,0,1,0,0,0,0,4k,<= 4,2592000.0,0.0,High,Medium,2,5,0.0,Type-C,Android
No,Apple,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,False,8.3,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,2942.0,Lithium Ion,Yes,1.0,1.0,Apple,Mid_Core,apple,5nm - 10nm,True,Low,Medium,326,6.1,0,1,0,1,0,0,0,1,1,0,0,4k,<= 4,1483776.0,3.0,Medium,Low,2,5,1.0,Lightning,IOS
Yes,Honor,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,7.6,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3340.0,Lithium Ion,No,1.0,1.0,ARM,Mid_Core,kirin,10nm - 20nm,True,Low,High,407,5.93,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2332800.0,3.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,ZTE,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,4.0,False,7.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4000.0,Lithium Ion,No,1.0,0.0,Qualcomm,Mid_Core,qualcomm,> 20nm,False,Low,Medium,368,6.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,2.0,Medium,Low,2,Less than 4,0.0,Type-C,Android
No,vivo,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,6.0,False,8.5,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,453,6.78,1,1,0,1,0,0,1,0,0,0,0,8k,8-16,3528000.0,6.0,Ultra,Medium,3,5,1.0,Type-C,Android
Yes,Apple,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,False,7.6,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,1560.0,Lithium Polymer,No,1.0,1.0,Imagination,Low_Core,apple,> 20nm,True,Low,Medium,326,4.0,0,0,0,1,1,0,0,0,0,0,0,1080p,<= 4,727040.0,3.0,Low,Low,1,Less than 4,0.0,Lightning,IOS
Yes,Xiaomi,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,9.1,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,6000.0,Lithium Polymer,No,1.0,0.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,Medium,269,6.7,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1188000.0,2.0,Ultra,Low,2,5,0.0,Type-C,Android
Yes,Blackview,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,False,13.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5580.0,Lithium Polymer,No,1.0,1.0,Imagination,Low_Core,mediatek,10nm - 20nm,False,Low,Medium,282,5.7,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1036800.0,3.0,Low,Low,2,5,1.0,Type-B,Android
Yes,Asus,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,6.9,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3000.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,401,5.5,0,1,0,1,1,0,0,0,0,0,0,4k,<= 4,2073600.0,1.0,Medium,Medium,1,Less than 4,0.0,Type-B,Android
Yes,ZTE,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,6.0,False,9.7,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Polymer,Yes,0.0,0.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,388,6.65,1,1,0,0,0,0,0,0,0,0,0,8k,6 - 8,2527200.0,0.0,High,Medium,2,5,0.0,Type-C,Android
Yes,Coolpad,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.505405405405405,0.0,0.0,0.0,0.0,0.0,True,True,False,Non-Removable,2000.0,Lithium Polymer,No,0.0,0.0,ARM,Low_Core,mediatek,> 20nm,False,Low,Medium,294,5.0,0,0,0,0,1,0,0,0,0,0,0,720p,<= 4,921600.0,1.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Asus,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,10.0,0.0,1.0,0.0,0.0,1.0,True,True,False,Removable,2070.0,Lithium Polymer,No,0.0,1.0,ARM,Low_Core,mediatek,> 20nm,False,Low,Medium,294,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,2.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Oppo,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,6.0,False,9.1,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4035.0,Lithium Polymer,Yes,1.0,1.0,Imagination,Mid_Core,mediatek,10nm - 20nm,True,Low,High,402,6.4,0,1,0,1,0,0,1,0,0,0,0,4k,<= 4,2527200.0,3.0,High,High,2,5,1.0,Type-C,Android
Yes,Xiaomi,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,False,8.8,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4500.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,395,6.67,0,1,0,1,1,0,1,0,0,0,0,4k,6 - 8,2592000.0,4.0,Ultra,High,2,5,1.0,Type-C,Android
No,Blackview,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,6.0,False,12.8,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5280.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,True,Low,High,400,6.36,0,1,0,0,0,0,0,0,0,0,0,4k,6 - 8,2484000.0,3.0,High,Medium,2,5,1.0,Type-C,Android
Yes,Huawei,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,7.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3400.0,Lithium Polymer,Yes,0.0,0.0,ARM,Mid_Core,kirin,10nm - 20nm,True,Low,Medium,401,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,1.0,Medium,Low,2,Less than 4,1.0,Type-C,Android
Yes,Sony,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,False,7.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3100.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Low,Medium,424,5.2,0,1,0,1,1,0,0,1,0,0,0,4k,<= 4,2073600.0,3.0,High,Low,2,Less than 4,1.0,Type-B,Android
Yes,HTC,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,7.7,1.0,0.0,0.0,0.0,1.0,True,False,True,Non-Removable,2600.0,Lithium Polymer,Yes,1.0,1.0,ARM,Mid_Core,mediatek,> 20nm,False,Low,Medium,267,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,5.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,Asus,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,False,7.5,1.0,1.0,0.0,0.0,1.0,True,True,False,Non-Removable,3000.0,Lithium Ion,No,0.0,0.0,Qualcomm,Low_Core,qualcomm,10nm - 20nm,True,Low,Medium,386,5.7,0,1,0,0,0,0,0,0,0,0,0,4k,<= 4,2073600.0,1.0,High,Low,2,Less than 4,1.0,Type-C,Android
No,Xiaomi,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,False,8.4,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,5110.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,mediatek,Less than 5nm,False,Low,High,446,6.67,0,1,0,1,0,0,1,0,0,0,1,4k,6 - 8,3308640.0,0.0,Ultra,High,3,5,1.0,Type-C,Android
No,Xiaomi,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,False,7.7,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4500.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,True,Low,High,395,6.67,0,1,0,1,0,0,0,0,0,0,0,4k,6 - 8,2592000.0,0.0,Ultra,High,3,5,1.0,Type-C,Android
Yes,ZTE,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,False,7.6,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3000.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,424,5.2,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,1.0,High,Medium,2,Less than 4,1.0,Type-C,Android
Yes,Doogee,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,False,8.6,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5150.0,Lithium Ion,No,1.0,1.0,ARM,Mid_Core,unisoc,10nm - 20nm,False,Low,Medium,269,6.56,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,1160640.0,3.0,Medium,Low,2,5,0.0,Type-C,Android
Yes,LG,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,False,10.1,0.0,0.0,1.0,0.0,1.0,True,False,True,Removable,1500.0,Lithium Ion,No,1.0,1.0,Imagination,Low_Core,others,> 20nm,True,Low,Low,217,4.3,0,0,0,0,1,0,0,0,0,0,0,720p,<= 4,384000.0,3.0,Low,Low,1,Less than 4,1.0,Type-B,Android
No,Huawei,1.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,6.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,False,False,Non-Removable,4815.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,444,6.67,0,1,0,1,0,0,1,1,0,0,0,4k,8-16,3294000.0,3.0,High,Medium,3,5,1.0,Type-C,Harmony
Yes,Xiaomi,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4030.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,True,Low,High,403,6.39,0,1,0,1,1,0,0,0,0,0,0,4k,6 - 8,2527200.0,4.0,High,High,2,5,1.0,Type-C,Android
Yes,Tecno,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,9.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,6000.0,Lithium Ion,Yes,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,High,396,6.78,0,0,1,1,0,0,0,0,0,0,0,1440p,6 - 8,2656800.0,3.0,Ultra,Low,2,Less than 4,1.0,Type-C,Android
No,Meizu,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.6,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,6000.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,450,6.78,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,3513920.0,3.0,Ultra,Low,2,5,0.0,Type-C,Others
Yes,LG,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,False,True,Non-Removable,3000.0,Lithium Ion,No,0.0,0.0,Imagination,Low_Core,mediatek,> 20nm,False,Low,Low,197,5.45,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,460800.0,0.0,Low,Low,1,5,0.0,Type-B,Android
Yes,vivo,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,False,8.9,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,268,6.35,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1111680.0,3.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,Oppo,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,True,Low,Medium,269,6.56,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,1160640.0,3.0,Ultra,Low,2,5,1.0,Type-C,Android
Yes,Nokia,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,False,8.6,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,1.0,1.0,Imagination,Mid_Core,unisoc,> 20nm,False,Low,Medium,270,6.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,3.0,Medium,Low,1,5,0.0,Type-C,Android
Yes,Meizu,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.5,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3070.0,Lithium Ion,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Medium,295,5.45,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1036800.0,3.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,Microsoft,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.8,0.0,1.0,0.0,0.0,1.0,True,True,False,Removable,1905.0,Lithium Ion,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Low,220,5.0,0,0,0,0,1,1,0,0,0,0,0,720p,<= 4,518400.0,3.0,Low,Low,1,Less than 4,0.0,Type-B,Others
Yes,Tecno,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.8,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,No,1.0,1.0,Imagination,Low_Core,mediatek,10nm - 20nm,False,Low,Medium,269,6.56,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1160640.0,3.0,Low,Low,0,Less than 4,0.0,Type-B,Android
Yes,LG,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,False,9.7,0.0,1.0,0.0,0.0,1.0,True,False,True,Removable,2540.0,Lithium Ion,No,1.0,0.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Low,187,5.0,0,0,0,1,0,1,0,0,0,0,0,1080p,<= 4,384000.0,2.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Realme,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.0,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Ion,Yes,0.0,0.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,High,395,6.67,0,0,0,1,0,0,1,0,0,0,0,1080p,6 - 8,2592000.0,1.0,Ultra,Medium,3,5,0.0,Type-C,Android
Yes,Asus,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,10.6,0.0,1.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Low,Medium,267,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,3.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,Meizu,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,2870.0,Lithium Ion,No,0.0,0.0,ARM,Mid_Core,mediatek,> 20nm,False,Low,Medium,294,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,1.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,Oppo,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,6.0,False,9.0,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,3765.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,True,Low,High,402,6.4,0,1,0,1,0,0,1,0,0,0,0,4k,6 - 8,2527200.0,3.0,High,Medium,2,5,1.0,Type-C,Android
Yes,Apple,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,False,7.6,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,1440.0,Lithium Polymer,No,1.0,0.0,Imagination,Low_Core,apple,> 20nm,True,Low,Medium,326,4.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,727040.0,1.0,Low,Low,1,Less than 4,1.0,Lightning,IOS
Yes,vivo,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,4.0,False,8.4,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Ion,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,401,6.58,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2600640.0,3.0,High,Low,2,5,0.0,Type-C,Android
Yes,vivo,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,5.0,False,8.9,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4500.0,Lithium Ion,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,402,6.57,0,1,0,1,0,0,1,0,0,0,0,4k,6 - 8,2600640.0,3.0,High,Medium,3,5,1.0,Type-C,Android
Yes,Motorola,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,5.0,False,7.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3600.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,True,Low,High,403,6.4,0,1,0,1,0,0,0,0,0,0,0,4k,<= 4,2527200.0,0.0,High,High,2,5,1.0,Type-C,Android
Yes,Oppo,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,7.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5100.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,Medium,264,6.67,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1154880.0,5.0,Low,Low,2,5,0.0,Type-C,Android
Yes,Xiaomi,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,9.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,1.0,1.0,Imagination,Mid_Core,mediatek,10nm - 20nm,False,Low,Medium,269,6.53,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,3.0,Medium,Low,1,5,0.0,Type-B,Android
Yes,vivo,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,4.0,False,8.5,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4500.0,Lithium Ion,No,1.0,1.0,ARM,Mid_Core,exynos,5nm - 10nm,False,Low,High,395,6.53,0,1,0,1,0,0,1,0,0,0,0,4k,6 - 8,2527200.0,3.0,High,Low,2,5,0.0,Type-B,Android
Yes,LG,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4050.0,Lithium Polymer,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,270,6.22,0,1,0,1,0,0,0,0,0,0,0,4k,<= 4,1094400.0,0.0,Medium,Medium,1,Less than 4,0.0,Type-C,Android
Yes,Nokia,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,False,9.1,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4470.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,395,6.67,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2592000.0,3.0,High,Medium,2,5,1.0,Type-C,Android
Yes,HTC,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,False,8.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,2200.0,Lithium Ion,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Medium,294,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,3.0,Medium,Low,1,Less than 4,1.0,Type-B,Android
No,Cubot,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,False,18.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,10200.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,High,401,6.58,0,1,0,1,0,0,0,0,0,0,0,4k,8-16,2600640.0,3.0,Ultra,High,3,5,1.0,Type-C,Android
Yes,Infinix,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,9.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,6000.0,Lithium Ion,No,0.0,0.0,Imagination,Mid_Core,unisoc,> 20nm,False,Low,Medium,267,6.6,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1160640.0,2.0,Medium,Low,1,Less than 4,0.0,Type-C,Android
Yes,Motorola,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,Yes,0.0,0.0,ARM,Mid_Core,unisoc,10nm - 20nm,True,Low,High,405,6.5,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2592000.0,1.0,Ultra,Low,2,5,1.0,Type-C,Android
Yes,Lenovo,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,9.8,0.0,0.0,0.0,0.0,0.0,True,True,False,Non-Removable,4000.0,Lithium Ion,No,0.0,0.0,Imagination,Low_Core,mediatek,> 20nm,False,Low,Medium,295,5.45,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1036800.0,0.0,Medium,Low,2,Less than 4,0.0,Type-B,Android
Yes,LG,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,False,10.5,0.0,0.0,1.0,0.0,1.0,True,False,True,Removable,1830.0,Lithium Ion,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Low,Medium,326,4.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,3.0,Low,Low,1,Less than 4,1.0,Type-B,Android
Yes,Huawei,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,False,7.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3340.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,401,5.5,0,1,0,1,0,0,0,0,0,0,0,4k,<= 4,2073600.0,6.0,Medium,Low,1,Less than 4,1.0,Type-C,Android
No,Realme,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.2,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5200.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,394,6.7,0,1,0,1,0,0,1,0,0,0,0,4k,8-16,2604960.0,3.0,Ultra,High,3,5,1.0,Type-C,Android
Yes,Xiaomi,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,False,7.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3300.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,282,5.7,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1036800.0,5.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
